"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"itsandyys";"Anmol";"2739070944";"1283519493013032961";"/itsandyys/status/1283519493013032961";"2020-07-15 21:51:08";1594849868;"#iiitdfeehike https://twitter.com/Shashik46200028/status/1283031722666287104 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Shashik46200028/status/1283031722666287104"" dir=""ltr"" href=""https://t.co/x0J1NHOL6l"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Shashik46200028/status/1283031722666287104""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Shashik4620002</span><span class=""invisible"">8/status/1283031722666287104</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/Shashik46200028/status/1283031722666287104']";"['iiitdfeehike']";False;"[]";"";0;7;0;False;False;"";"[]"
"Awakecitizen2";"Awake citizen";"1257378986407100417";"1283505723104563202";"/Awakecitizen2/status/1283505723104563202";"2020-07-15 20:56:25";1594846585;"@anubha1812 ma'am, IIIT Delhi(under delhi govt.) has hiked fee by rs.20k.Fee now is 2lac/sem. The pandemic has left families with drastically reduced incomes. College is not listening, we can't afford this. Delhi govt. Not listening. Pls help, check #iiitdfeehike";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""159060077"" dir=""ltr"" href=""/anubha1812""><s>@</s><b>anubha1812</b></a> ma'am, IIIT Delhi(under delhi govt.) has hiked fee by rs.20k.Fee now is 2lac/sem. The pandemic has left families with drastically reduced incomes. College is not listening, we can't afford this. Delhi govt. Not listening. Pls help, check <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a></p>";"[]";"['iiitdfeehike']";False;"[]";"";1;8;0;False;False;"";"[]"
"imkshitij16";"Kshitij";"1262100696427401218";"1283494715099213824";"/imkshitij16/status/1283494715099213824";"2020-07-15 20:12:40";1594843960;"#iiitdfeehike https://twitter.com/Shashik46200028/status/1283031722666287104 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Shashik46200028/status/1283031722666287104"" dir=""ltr"" href=""https://t.co/sTPXZxzRlE"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Shashik46200028/status/1283031722666287104""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Shashik4620002</span><span class=""invisible"">8/status/1283031722666287104</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/Shashik46200028/status/1283031722666287104']";"['iiitdfeehike']";False;"[]";"";3;7;0;False;False;"";"[]"
"swappy9";"Swapnil Bansal";"2843101338";"1283446980367142912";"/swappy9/status/1283446980367142912";"2020-07-15 17:03:00";1594832580;"#iiitdfeehike this is too much...asking 1.65 lacs from students..";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> this is too much...asking 1.65 lacs from students..</p>";"[]";"['iiitdfeehike']";False;"[]";"";5;9;0;False;True;"1283404680878387202";"[{'screen_name': 'narendramodi', 'user_id': '18839785'}]"
"yadav_pranshu16";"Pranshu  Yadav";"869231067340959745";"1283429155485347840";"/yadav_pranshu16/status/1283429155485347840";"2020-07-15 15:52:10";1594828330;"#iiitdfeehike #iiitdfeeshike @ArvindKejriwal @msisodiahttps://twitter.com/ImPrashant_11/status/1283346941464604672 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeeshike?src=hash""><s>#</s><b><strong>iiitdfeeshike</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""405427035"" dir=""ltr"" href=""/ArvindKejriwal""><s>@</s><b>ArvindKejriwal</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""30417501"" dir=""ltr"" href=""/msisodia""><s>@</s><b>msisodia</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ImPrashant_11/status/1283346941464604672"" dir=""ltr"" href=""https://t.co/7TLiuHo0XN"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ImPrashant_11/status/1283346941464604672""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ImPrashant_11/</span><span class=""invisible"">status/1283346941464604672</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/ImPrashant_11/status/1283346941464604672']";"['iiitdfeehike', 'iiitdfeeshike']";False;"[]";"";2;7;0;False;False;"";"[]"
"DikshantSagar";"Dikshant Sagar";"830682932";"1283418584954232833";"/DikshantSagar/status/1283418584954232833";"2020-07-15 15:10:10";1594825810;"#iiitdfeehike #IIITD
@ArvindKejriwalhttps://twitter.com/shashik46200028/status/1283031722666287104 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIITD?src=hash""><s>#</s><b>IIITD</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""405427035"" dir=""ltr"" href=""/ArvindKejriwal""><s>@</s><b>ArvindKejriwal</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/shashik46200028/status/1283031722666287104"" dir=""ltr"" href=""https://t.co/bN2BEu09GV"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/shashik46200028/status/1283031722666287104""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/shashik4620002</span><span class=""invisible"">8/status/1283031722666287104</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/shashik46200028/status/1283031722666287104']";"['iiitdfeehike', 'IIITD']";False;"[]";"";4;7;1;True;False;"";"[]"
"ItnaNhiHoPaega";"Sushant";"1158786335286550528";"1283414973213884416";"/ItnaNhiHoPaega/status/1283414973213884416";"2020-07-15 14:55:48";1594824948;"#iiitdfeehike";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a></p>";"[]";"['iiitdfeehike']";False;"[]";"";3;9;0;False;True;"1283330443459260417";"[{'screen_name': 'divyansh__10', 'user_id': '588117044'}]"
"ItnaNhiHoPaega";"Sushant";"1158786335286550528";"1283414604140302337";"/ItnaNhiHoPaega/status/1283414604140302337";"2020-07-15 14:54:20";1594824860;"@ArvindKejriwal @msisodia #iiitdfeehike https://twitter.com/not_a_bhakt420/status/1283386252826271744 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""405427035"" dir=""ltr"" href=""/ArvindKejriwal""><s>@</s><b>ArvindKejriwal</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""30417501"" dir=""ltr"" href=""/msisodia""><s>@</s><b>msisodia</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/not_a_bhakt420/status/1283386252826271744"" dir=""ltr"" href=""https://t.co/XRcEMbe4v9"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/not_a_bhakt420/status/1283386252826271744""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/not_a_bhakt420</span><span class=""invisible"">/status/1283386252826271744</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/not_a_bhakt420/status/1283386252826271744']";"['iiitdfeehike']";False;"[]";"";2;6;0;False;False;"";"[]"
"certifiedOreo";"Ajeet Yadav";"1279606943527563264";"1283412694322647040";"/certifiedOreo/status/1283412694322647040";"2020-07-15 14:46:45";1594824405;"@ArvindKejriwal @msisodia #iiitdfeehike #ArvindKejriwal #manishsisodia #FeesKamKarona #iiitdfeeshike https://twitter.com/loser173469512/status/1282950602645884930 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""405427035"" dir=""ltr"" href=""/ArvindKejriwal""><s>@</s><b>ArvindKejriwal</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""30417501"" dir=""ltr"" href=""/msisodia""><s>@</s><b>msisodia</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b><strong>iiitdfeehike</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ArvindKejriwal?src=hash""><s>#</s><b>ArvindKejriwal</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manishsisodia?src=hash""><s>#</s><b>manishsisodia</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FeesKamKarona?src=hash""><s>#</s><b>FeesKamKarona</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeeshike?src=hash""><s>#</s><b><strong>iiitdfeeshike</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/loser173469512/status/1282950602645884930"" dir=""ltr"" href=""https://t.co/lzneuME4yA"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/loser173469512/status/1282950602645884930""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/loser173469512</span><span class=""invisible"">/status/1282950602645884930</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/loser173469512/status/1282950602645884930']";"['iiitdfeehike', 'ArvindKejriwal', 'manishsisodia', 'FeesKamKarona', 'iiitdfeeshike']";False;"[]";"";5;11;0;False;False;"";"[]"
"HemantDhankar25";"Hemant Dhankar";"1127207193927749632";"1283409989516705798";"/HemantDhankar25/status/1283409989516705798";"2020-07-15 14:36:00";1594823760;"#iiitdfeeshike";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeeshike?src=hash""><s>#</s><b><strong>iiitdfeeshike</strong></b></a></p>";"[]";"['iiitdfeeshike']";False;"[]";"";1;2;0;False;True;"1283397978825224196";"[{'screen_name': 'msisodia', 'user_id': '30417501'}]"
