"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"sahil_yadav96";"Sahil Yadav";"3178495566";"1283357924757139457";"/sahil_yadav96/status/1283357924757139457";"2020-07-15 11:09:07";1594811347;"EIA 2020- Environment Impact Assessment.
The govt made a new Draft for EIA called EIA 2020 which favours the private sector and the Govt rather than the environment and the citizens of India.
We have time until 11 August to send our issues.
@LetIndBreathehttps://www.downtoearth.org.in/blog/environment/why-draft-eia-2020-needs-a-revaluation-72148 …";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">EIA 2020- Environment Impact Assessment.
The govt made a new Draft for EIA called EIA 2020 which favours the private sector and the Govt rather than the environment and the citizens of India.
We have time until 11 August to send our issues.
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""983971218759081984"" dir=""ltr"" href=""/LetIndBreathe""><s>@</s><b>LetIndBreathe</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.downtoearth.org.in/blog/environment/why-draft-eia-2020-needs-a-revaluation-72148"" dir=""ltr"" href=""https://t.co/EcpdByfMrd"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.downtoearth.org.in/blog/environment/why-draft-eia-2020-needs-a-revaluation-72148""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">downtoearth.org.in/blog/environme</span><span class=""invisible"">nt/why-draft-eia-2020-needs-a-revaluation-72148</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.downtoearth.org.in/blog/environment/why-draft-eia-2020-needs-a-revaluation-72148']";"[]";False;"[]";"";1;1;1;True;False;"";"[]"
"Shashik46200028";"Shashikant";"1081419120929722368";"1283031722666287104";"/Shashik46200028/status/1283031722666287104";"2020-07-14 13:32:54";1594733574;"IIIT Delhi is a world class institution producing top engineers in India every year. but it is very sad to see see it is becoming impossible for the middle class students to afford its fee which is 3.75lakh tution fee which is even more than private a college #iiitdfeehike #IIITD";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">IIIT Delhi is a world class institution producing top engineers in India every year. but it is very sad to see see it is becoming impossible for the middle class students to afford its fee which is 3.75lakh tution fee which is even more than private a college <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b>iiitdfeehike</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIITD?src=hash""><s>#</s><b>IIITD</b></a></p>";"[]";"['iiitdfeehike', 'IIITD']";False;"[]";"";62;31;1;True;False;"";"[]"
"udhvarg";"Udh";"797084582768152577";"1283691765258543104";"/udhvarg/status/1283691765258543104";"2020-07-16 09:15:41";1594890941;"This is not a campaign or a propaganda. This is a desperate plea for help on the behalf of many students in my college who would be terribly burdened and financially unstable following an unethical hike in the fee. And I need your help to bring this matter to light. #iiitdfeehike";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This is not a campaign or a propaganda. This is a desperate plea for help on the behalf of many students in my college who would be terribly burdened and financially unstable following an unethical hike in the fee. And I need your help to bring this matter to light. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iiitdfeehike?src=hash""><s>#</s><b>iiitdfeehike</b></a></p>";"[]";"['iiitdfeehike']";False;"[]";"";117;55;4;True;False;"";"[]"
"thewire_in";"The Wire";"3150940290";"1283435766501105664";"/thewire_in/status/1283435766501105664";"2020-07-15 16:18:26";1594829906;"The survivor, who was raped on June 6, has been in jail for the past five days. Two women from an NGO there to help her were also placed under arrest.https://thewire.in/rights/araria-gang-rape-survivor-jail …";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The survivor, who was raped on June 6, has been in jail for the past five days. Two women from an NGO there to help her were also placed under arrest.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://thewire.in/rights/araria-gang-rape-survivor-jail"" dir=""ltr"" href=""https://t.co/McksUe5IcK"" rel=""nofollow noopener"" target=""_blank"" title=""https://thewire.in/rights/araria-gang-rape-survivor-jail""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">thewire.in/rights/araria-</span><span class=""invisible"">gang-rape-survivor-jail</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://thewire.in/rights/araria-gang-rape-survivor-jail']";"[]";False;"[]";"";243;153;11;True;False;"";"[]"
"sahil_yadav96";"Sahil Yadav";"3178495566";"1283373812264755203";"/sahil_yadav96/status/1283373812264755203";"2020-07-15 12:12:15";1594815135;"I am not even surprised anymore. smhhttps://twitter.com/DeshmaneAkshay/status/1283317935486857216 …";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I am not even surprised anymore. smh<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/DeshmaneAkshay/status/1283317935486857216"" dir=""ltr"" href=""https://t.co/k5uP1VNYBf"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/DeshmaneAkshay/status/1283317935486857216""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/DeshmaneAkshay</span><span class=""invisible"">/status/1283317935486857216</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/DeshmaneAkshay/status/1283317935486857216']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"slatefloors";"john";"890572160166645761";"1282099336013385729";"/slatefloors/status/1282099336013385729";"2020-07-11 23:47:56";1594511276;"i don’t think people in my circles are talking about this enough. a mumbai-based female stand up comedian, Agrima Joshua, is being bullied by social media trolls, aggressive nationalists, and POLITICIANS, for making jokes about a statue of shivaji maharaj. (1/n)";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">i don’t think people in my circles are talking about this enough. a mumbai-based female stand up comedian, Agrima Joshua, is being bullied by social media trolls, aggressive nationalists, and POLITICIANS, for making jokes about a statue of shivaji maharaj. (1/n)</p>";"[]";"[]";False;"[]";"";32;12;1;True;False;"";"[]"
"ankitatweetsyo";"A";"766322481594568705";"1282008529318973440";"/ankitatweetsyo/status/1282008529318973440";"2020-07-11 17:47:06";1594489626;"chhatrapati shivaji maharaj's followers giving r*pe threats to a woman is so ironic coz if you're his real follower you'd know he was a dependable supporter of women and their honour. he opposed all kinds of violence, harassment and dishonour against women.";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">chhatrapati shivaji maharaj's followers giving r*pe threats to a woman is so ironic coz if you're his real follower you'd know he was a dependable supporter of women and their honour. he opposed all kinds of violence, harassment and dishonour against women.</p>";"[]";"[]";False;"[]";"";3615;522;108;True;False;"";"[]"
"sahil_yadav96";"Sahil Yadav";"3178495566";"1282219889910902784";"/sahil_yadav96/status/1282219889910902784";"2020-07-12 07:46:58";1594540018;"Why is Agrima Joshua's joke so offensive to so many people?  It did not degrade Maharaja Chhatrapati Shivaji in any way. Moreover, I see people who are threatening her with rape and whatnot for that. What kind of world are we living in? 
FACT- INDIANS DONT HAVE SENSE OF HUMOR";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why is Agrima Joshua's joke so offensive to so many people?  It did not degrade Maharaja Chhatrapati Shivaji in any way. Moreover, I see people who are threatening her with rape and whatnot for that. What kind of world are we living in? 
FACT- INDIANS DONT HAVE SENSE OF HUMOR</p>";"[]";"[]";False;"[]";"";1;0;0;False;False;"";"[]"
"pbhushan1";"Prashant Bhushan";"2284802828";"1281908876942536704";"/pbhushan1/status/1281908876942536704";"2020-07-11 11:11:07";1594465867;"First 6K Crores of electoral bonds. Then 10K Crores in PM-Cares. Janta ka paisa hai. Has to be spent somewhere.https://twitter.com/ndtv/status/1281873704557789184 …";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">First 6K Crores of electoral bonds. Then 10K Crores in PM-Cares. Janta ka paisa hai. Has to be spent somewhere.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ndtv/status/1281873704557789184"" dir=""ltr"" href=""https://t.co/40NAz6bJUt"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ndtv/status/1281873704557789184""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ndtv/status/12</span><span class=""invisible"">81873704557789184</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/ndtv/status/1281873704557789184']";"[]";False;"[]";"";7790;2264;163;True;False;"";"[]"
"ScenesFilms";"out of context Netflix";"721918907787931648";"1281742441222213633";"/ScenesFilms/status/1281742441222213633";"2020-07-11 00:09:46";1594426186;"pic.twitter.com/5kVJQswyl5";"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/5kVJQswyl5"">pic.twitter.com/5kVJQswyl5</a></p>";"[]";"[]";True;"['https://pbs.twimg.com/media/Ecmp6ypX0AEmA0K.jpg']";"";4523;1852;12;True;False;"";"[]"
